Wall time,Round,Iteration,Value,
1644279866.61181,1,50,0.187468618154526,
1644279993.15042,4,200,0.298423528671265,
1644280038.81109,5,250,0.318706691265106,
1644280298.99071,11,550,0.423636913299561,
1644280342.63459,12,600,0.435184270143509,
1644280473.4065,15,750,0.433878898620606,
1644280522.39423,16,800,0.462797462940216,
1644280651.79596,19,950,0.474646061658859,
1644280696.78036,20,1000,0.477256745100021,
1644280740.60349,21,1050,0.483181029558182,
1644280830.62775,23,1150,0.495531678199768,
1644280871.95108,24,1200,0.508986830711365,
1644281008.10313,27,1350,0.495431274175644,
1644281053.45145,28,1400,0.526860117912293,
1644281327.65884,34,1700,0.527261793613434,
1644281464.77923,37,1850,0.550657689571381,
1644281516.41785,38,1900,0.539110362529755,
1644281563.1206,39,1950,0.539511978626251,
1644281611.24205,40,2000,0.563912034034729,
1644281661.67752,41,2050,0.560799300670624,
1644281993.14316,48,2400,0.562606692314148,
1644282042.68813,49,2450,0.574053645133972,
1644282089.97068,50,2500,0.548448622226715,
1644282185.65196,52,2600,0.589215755462647,
1644282237.54579,53,2650,0.55929309129715,
1644282341.917,55,2750,0.580982029438019,
1644282478.04519,58,2900,0.583492338657379,
1644282626.14327,61,3050,0.567928493022919,
1644282674.46971,62,3100,0.582689046859741,
1644282724.61314,63,3150,0.594236373901367,
1644282776.9375,64,3200,0.588010847568512,
1644282877.48977,66,3300,0.603173017501831,
1644282925.37996,67,3350,0.596445441246033,
1644282974.84933,68,3400,0.601466000080109,
1644283026.24742,69,3450,0.598855316638947,
1644283127.42167,71,3550,0.586605072021484,
1644283175.92968,72,3600,0.596646249294281,
1644283474.98888,78,3900,0.598252832889557,
1644283575.19368,80,4000,0.597349107265472,
1644283623.03896,81,4050,0.589316189289093,
1644283708.784,83,4150,0.598052024841309,
1644283752.2584,84,4200,0.596345007419586,
1644283852.25928,86,4300,0.61833518743515,
1644284033.2678,90,4500,0.60126519203186,
1644284079.77283,91,4550,0.606988668441772,
1644284288.89264,96,4800,0.623154938220978,
1644284455.86235,100,5000,0.613917052745819,
1644284498.39477,101,5050,0.637915432453156,
1644284626.0245,104,5200,0.619540095329285,
1644284754.84733,107,5350,0.647755801677704,
1644284798.67197,108,5400,0.622251212596893,
1644284878.12074,110,5500,0.632794439792633,
1644285091.14253,115,5750,0.62948089838028,
1644285186.64108,117,5850,0.636710524559021,
1644285420.1092,122,6100,0.637413382530212,
1644285605.72719,126,6300,0.640024125576019,
1644285651.80948,127,6350,0.655487477779388,
1644285744.21708,129,6450,0.622552454471588,
1644285828.37216,131,6550,0.639019966125488,
1644285871.90199,132,6600,0.64223313331604,
1644285916.55229,133,6650,0.630886614322662,
1644286091.7716,137,6850,0.656592011451721,
1644286138.57934,138,6900,0.64283561706543,
1644286408.79659,144,7200,0.65930312871933,
1644286455.07316,145,7250,0.662717163562775,
1644286539.55792,147,7350,0.643739342689514,
1644286585.16071,148,7400,0.654985427856445,
1644286728.4738,151,7550,0.64594841003418,
1644287133.01796,158,7900,0.674565732479095,
1644287250.28747,160,8000,0.672256231307983,
1644287310.13663,161,8050,0.650567352771759,
1644287426.80737,163,8150,0.648659527301788,
1644287548.15525,165,8250,0.650868535041809,
1644287655.20266,167,8350,0.656190395355225,
1644287859.99554,171,8550,0.632091581821442,
1644287912.06058,172,8600,0.67295914888382,
1644287964.07832,173,8650,0.677578091621399,
1644288122.75032,176,8800,0.654282569885254,
1644288173.34792,177,8850,0.671553373336792,
1644288228.66758,178,8900,0.660708904266357,
1644288283.42857,179,8950,0.658299028873444,
1644288382.7773,181,9050,0.659604370594025,
1644288430.65303,182,9100,0.655085861682892,
1644288577.2288,185,9250,0.661010146141052,
1644288620.77755,186,9300,0.66894268989563,
1644288666.85743,187,9350,0.662817537784576,
1644288814.17585,190,9500,0.649764060974121,
1644288860.00077,191,9550,0.649161577224731,
1644288903.64417,192,9600,0.651169776916504,
1644288952.86857,193,9650,0.67235666513443,
1644289083.77785,196,9800,0.673059523105621,
1644289255.95857,200,10000,0.668239772319794,0.677578091621399
1644289297.8408,201,10050,0.6447434425354,
1644289397.26741,203,10150,0.665930330753326,
1644289450.64636,204,10200,0.657495737075806,
1644289502.79482,205,10250,0.665127038955689,
1644289555.98267,206,10300,0.668440580368042,
1644289654.5791,208,10400,0.667838156223297,
1644289758.40916,210,10500,0.659403562545776,
1644289863.53899,212,10600,0.650667726993561,
1644289962.97445,214,10700,0.673561573028564,
1644290069.60095,216,10800,0.661010146141052,
1644290122.02114,217,10850,0.677477657794952,
1644290221.34491,219,10950,0.667436480522156,
1644290273.12615,220,11000,0.684104800224304,
1644290326.56823,221,11050,0.675469398498535,
1644290379.54769,222,11100,0.66894268989563,
1644290432.11925,223,11150,0.674364924430847,
1644290534.31438,225,11250,0.64936238527298,
1644290586.68953,226,11300,0.677678465843201,
1644290791.35398,230,11500,0.666633188724518,
1644291104.09515,236,11800,0.680891633033752,
1644291210.3701,238,11900,0.678180515766144,
1644291263.78241,239,11950,0.688924610614777,
1644291318.54911,240,12000,0.673963248729706,
1644291421.57132,242,12100,0.67175418138504,
1644291470.13956,243,12150,0.685209333896637,
1644291570.43088,245,12250,0.681795358657837,
1644291618.21298,246,12300,0.677879333496094,
1644291662.64218,247,12350,0.686213493347168,
1644291712.69265,248,12400,0.673059523105621,
1644291973.86709,253,12650,0.680690824985504,
1644292032.47946,254,12700,0.685309767723084,
1644292084.73826,255,12750,0.67637312412262,
1644292257.61669,258,12900,0.689024984836578,
1644292319.18404,259,12950,0.681996166706085,
1644292376.16904,260,13000,0.685008525848389,
1644292433.91902,261,13050,0.684205234050751,
1644292561.47881,263,13150,0.692439019680023,
1644292991.05087,271,13550,0.686012625694275,
1644293036.01745,272,13600,0.693744361400604,
1644293182.68039,275,13750,0.689627468585968,
1644293226.30569,276,13800,0.689527034759522,
1644293267.33966,277,13850,0.675067782402039,
1644293358.82245,279,13950,0.688422560691834,
1644293444.0971,281,14050,0.695250511169434,
1644293527.38427,283,14150,0.673561573028564,
1644293573.37238,284,14200,0.691234052181244,
1644293659.60835,286,14300,0.698062062263489,
1644293740.79885,288,14400,0.685309767723084,
1644293784.01907,289,14450,0.684606909751892,
1644293866.25108,291,14550,0.678582191467285,
1644294067.77736,296,14800,0.694447219371796,
1644294105.98828,297,14850,0.674264490604401,
1644294144.40093,298,14900,0.67235666513443,
1644294184.42463,299,14950,0.690631568431854,
1644294426.58127,305,15250,0.685811817646027,
1644294508.91667,307,15350,0.691033244132996,
